Gene,log2FC
Gene_1,0.07883775966813557
Gene_2,0.5628974831850584
Gene_3,0.34110195328337284
Gene_4,-1.2779141981929174
Gene_5,-0.18622030202792714
Gene_6,0.6527795490842441
Gene_7,0.4180403224379297
Gene_8,-0.7818704205472248
Gene_9,0.4159034742644407
Gene_10,0.9148892518044398
Gene_11,-0.9762990362104499
Gene_12,-1.9602337386125688
Gene_13,1.7740633864071853
Gene_14,0.31533491407774344
Gene_15,-0.45729182889119463
Gene_16,-0.4915552949606226
Gene_17,0.1467905375237725
Gene_18,1.0410184105215592
Gene_19,-1.509788136871486
Gene_20,-0.40094455982374405
Gene_21,1.6539674199545737
Gene_22,0.8246189558201007
Gene_23,0.7393077205547591
Gene_24,0.4076965113788939
Gene_25,0.3104812765325036
Gene_26,-0.4681751038217448
Gene_27,-0.5582165175640257
Gene_28,0.8061324475603655
Gene_29,-0.5396075638872762
Gene_30,0.283832581794862
Gene_31,0.1517354913250618
Gene_32,2.1918875824841977
Gene_33,-0.16042229633668875
Gene_34,1.1684633122520025
Gene_35,0.7073051056639148
Gene_36,-0.11724288741233224
Gene_37,-1.2439873357605595
Gene_38,-0.05296355810964748
Gene_39,0.8992364267471994
Gene_40,-1.2248175802291643
Gene_41,0.8357095015353008
Gene_42,1.3428868704211743
Gene_43,0.09600706991189902
Gene_44,0.9136967014235043
Gene_45,0.14025448292592965
Gene_46,0.5713814409265271
Gene_47,1.4935802857551694
Gene_48,-1.5539759502445607
Gene_49,-0.7652188928038167
Gene_50,1.2506814379233537
Gene_51,1.4351205913038925
Gene_52,-1.4079259373684674
Gene_53,1.5623035978073818
Gene_54,-2.5721394162400655
Gene_55,0.6255895186950785
Gene_56,0.21879428533500353
Gene_57,-0.7331126422263499
Gene_58,-0.6715461236407426
Gene_59,-0.63468370784258
Gene_60,-0.20415242070368356
Gene_61,1.986035374591629
Gene_62,0.8231036374738754
Gene_63,1.4344041300692356
Gene_64,-0.3220771548847291
Gene_65,0.23025892405716294
Gene_66,-1.071594637116839
Gene_67,-0.2784447207587021
Gene_68,-0.5524995770645335
Gene_69,0.48863922416820704
Gene_70,-0.706854389772492
Gene_71,-0.8368649319674558
Gene_72,0.39635091924514904
Gene_73,-0.05351696687182108
Gene_74,-0.700534058570091
Gene_75,-0.8466441311211507
Gene_76,-0.7008697755079829
Gene_77,0.8146145268986962
Gene_78,0.4175281423626004
Gene_79,-0.7551771251764297
Gene_80,-0.7153908209379616
Gene_81,-1.1473333020370355
Gene_82,-0.3932582656443868
Gene_83,0.12295425274899122
Gene_84,-0.8789413410130936
Gene_85,2.187313560086823
Gene_86,0.6237824350469979
Gene_87,-0.03217554320200616
Gene_88,0.08507262498295899
Gene_89,-1.3914045775500556
Gene_90,-1.199027758371336
Gene_91,1.322892114419834
Gene_92,1.635098829324158
Gene_93,-2.2153914298200967
Gene_94,0.4703841620931579
Gene_95,1.3816385027125864
Gene_96,-0.34174210005810474
Gene_97,1.5193435306988226
Gene_98,0.7673475695603332
Gene_99,0.45091019947162314
Gene_100,-0.24465803070347314
Gene_101,0.0921099226821653
Gene_102,-0.4474139970060515
Gene_103,0.2964571631760647
Gene_104,0.25280393377875804
Gene_105,-0.43428764210482956
Gene_106,-1.9470343640704435
Gene_107,-0.1949880963603248
Gene_108,-1.0178732565193258
Gene_109,-1.120872268082671
Gene_110,-0.6899981425934907
Gene_111,0.826882377906836
Gene_112,-1.1111312350036573
Gene_113,-0.8874122161344034
Gene_114,0.70677379860173
Gene_115,-0.7656466901522565
Gene_116,-1.1272000044769592
Gene_117,0.8088364295536297
Gene_118,-0.12946552115672763
Gene_119,0.06533992771381388
Gene_120,-0.22386779097116247
Gene_121,0.4233086106456018
Gene_122,0.6854729614840417
Gene_123,-0.12298657441307477
Gene_124,-1.4981464127415656
Gene_125,0.29748137953367043
Gene_126,-0.34000624690348064
Gene_127,0.8572847770384584
Gene_128,-0.8956108711257323
Gene_129,-0.3143946553408244
Gene_130,-1.4818668507831434
Gene_131,0.7831555404081759
Gene_132,1.2253497920933831
Gene_133,-0.48799775578464843
Gene_134,-0.194081813636885
Gene_135,-0.8096791452334742
Gene_136,-0.7132542966747782
Gene_137,0.6935607071323774
Gene_138,-0.5041516332022218
Gene_139,0.47514993786676735
Gene_140,-0.015230040344624817
Gene_141,0.7505623191923889
Gene_142,-0.39239836466526634
Gene_143,1.085309581182499
Gene_144,1.8754506768059784
Gene_145,-1.7003498213542614
Gene_146,-0.09216933031086971
Gene_147,-0.09278213710299776
Gene_148,-0.7157129469962962
Gene_149,0.4075077541470219
Gene_150,1.120597231418985
Gene_151,-1.974019268248139
Gene_152,-2.049684235038384
Gene_153,1.6574285590790905
Gene_154,-0.23960308754855483
Gene_155,0.08945714739230545
Gene_156,-1.0684707553338806
Gene_157,0.044331760381281
Gene_158,1.3688754395404252
Gene_159,0.49642435104844507
Gene_160,0.19274436567179468
Gene_161,-1.7699979429604802
Gene_162,0.7426924444665326
Gene_163,0.009586884776565751
Gene_164,-0.6079965501916844
Gene_165,0.6425085060224615
Gene_166,-0.8478558668775765
Gene_167,0.5607732750108635
Gene_168,1.216885873832257
Gene_169,0.15421445806816392
Gene_170,-0.4239945944152489
Gene_171,-0.572151471454977
Gene_172,0.3826853437377591
Gene_173,-0.4320285592426383
Gene_174,2.3664899028405864
Gene_175,-1.4151162686365801
Gene_176,-0.12976213358490032
Gene_177,0.27257137943863824
Gene_178,0.15351731511691835
Gene_179,-0.5607533929962527
Gene_180,1.232262542547186
Gene_181,0.666852900643008
Gene_182,0.739786913017019
Gene_183,-0.66792573637822
Gene_184,-0.40273743550970126
Gene_185,0.4882495195389887
Gene_186,-1.100505406808146
Gene_187,0.6655660017365909
Gene_188,-0.10095049514420978
Gene_189,1.0645956135187735
Gene_190,-0.4276195643280089
Gene_191,1.8141773903272638
Gene_192,0.41050305316852465
Gene_193,0.5204319898764955
Gene_194,-0.6925713092919072
Gene_195,0.2533403095250252
Gene_196,-0.5492331320478137
Gene_197,-1.5403500318190328
Gene_198,-0.19565407843172974
Gene_199,1.1628173201125553
Gene_200,-0.0641202986170108
Gene_201,-0.29414479713643366
Gene_202,-0.30741730716610516
Gene_203,2.2415829478838663
Gene_204,0.6084221761697429
Gene_205,-1.5900059417497086
Gene_206,-0.54314561759134
Gene_207,-0.40081724180068995
Gene_208,-0.7212070675280435
Gene_209,0.06435664943990058
Gene_210,-0.5738941952291813
Gene_211,-0.5127535779645837
Gene_212,0.15351872362572672
Gene_213,-1.5407221877060948
Gene_214,-2.1510711493195678
Gene_215,1.2428218977323782
Gene_216,0.8372287009432141
Gene_217,0.3688922882614425
Gene_218,0.30466835465075026
Gene_219,-0.1892525680559966
Gene_220,3.015966220248434
Gene_221,0.19295446902740349
Gene_222,2.6080964478955364
Gene_223,2.0628073213897804
Gene_224,0.46165054005964357
Gene_225,-0.20998887515649034
Gene_226,0.016011444238666888
Gene_227,-0.40082710833707447
Gene_228,0.46100192249789773
Gene_229,0.6737948145626026
Gene_230,-1.2241890109255422
Gene_231,2.6144663161649673
Gene_232,-0.7809825251126099
Gene_233,-2.6863200863839936
Gene_234,-0.08179777708071369
Gene_235,-1.1484407118512812
Gene_236,-0.05342809179476351
Gene_237,0.07092513638083854
Gene_238,0.44528148151848407
Gene_239,1.0058549458164392
Gene_240,-1.007474731221113
Gene_241,-0.3633359300665732
Gene_242,0.6785467368965267
Gene_243,-0.6574132528663154
Gene_244,-1.8773959614640323
Gene_245,0.6193936092920608
Gene_246,-0.5652533204154229
Gene_247,-0.6318124527856125
Gene_248,0.12006594821292532
Gene_249,0.004138283693697007
Gene_250,0.9972196142497648
Gene_251,-1.2490551408712838
Gene_252,2.2621534385908326
Gene_253,-1.4141409751679528
Gene_254,-0.387749145105116
Gene_255,-0.868523692488169
Gene_256,0.05554024348348685
Gene_257,0.018774125268647506
Gene_258,0.1663670947591698
Gene_259,0.2613300849905636
Gene_260,1.3063969410578073
Gene_261,0.1566416086498811
Gene_262,1.3883602912506816
Gene_263,-1.7503971533291778
Gene_264,-2.1843396032470523
Gene_265,0.12703551521445536
Gene_266,0.3269961175899004
Gene_267,-0.5338585320431306
Gene_268,-0.010137472655106882
Gene_269,1.0753291112250842
Gene_270,0.6703465773064909
Gene_271,-0.3299644422055664
Gene_272,0.19786957972601227
Gene_273,0.758883895142333
Gene_274,-1.2295477950617866
Gene_275,-0.8049838762039365
Gene_276,0.9233542829773588
Gene_277,-1.729665335520686
Gene_278,-1.090347197389696
Gene_279,-1.2133664498923673
Gene_280,0.9178377934603246
