Gene,Z-Score
Gene_1,0.496714153
Gene_2,-0.138264301
Gene_3,0.647688538
Gene_4,1.523029856
Gene_5,-0.234153375
Gene_6,-0.234136957
Gene_7,1.579212816
Gene_8,0.767434729
Gene_9,-0.469474386
Gene_10,0.542560044
Gene_11,-0.463417693
Gene_12,-0.465729754
Gene_13,0.241962272
Gene_14,-1.913280245
Gene_15,-1.724917833
Gene_16,-0.562287529
Gene_17,-1.01283112
Gene_18,0.314247333
Gene_19,-0.908024076
Gene_20,-1.412303701
Gene_21,1.465648769
Gene_22,-0.2257763
Gene_23,0.067528205
Gene_24,-1.424748186
Gene_25,-0.544382725
Gene_26,0.11092259
Gene_27,-1.150993577
Gene_28,0.375698018
Gene_29,-0.60063869
Gene_30,-0.29169375
Gene_31,-0.601706612
Gene_32,1.852278185
Gene_33,-0.013497225
Gene_34,-1.057710929
Gene_35,0.822544912
Gene_36,-1.22084365
Gene_37,0.208863595
Gene_38,-1.959670124
Gene_39,-1.328186049
Gene_40,0.196861236
Gene_41,0.73846658
Gene_42,0.171368281
Gene_43,-0.115648282
Gene_44,-0.301103696
Gene_45,-1.47852199
Gene_46,-0.719844208
Gene_47,-0.460638771
Gene_48,1.057122226
Gene_49,0.34361829
Gene_50,-1.763040155
Gene_51,0.324083969
Gene_52,-0.38508228
Gene_53,-0.676922
Gene_54,0.611676289
Gene_55,1.030999522
Gene_56,0.931280119
Gene_57,-0.839217523
Gene_58,-0.309212376
Gene_59,0.331263431
Gene_60,0.975545127
Gene_61,-0.479174238
Gene_62,-0.185658977
Gene_63,-1.106334974
Gene_64,-1.196206624
Gene_65,0.812525822
Gene_66,1.356240029
Gene_67,-0.072010122
Gene_68,1.003532898
Gene_69,0.361636025
Gene_70,-0.645119755
Gene_71,0.361395606
Gene_72,1.538036566
Gene_73,-0.035826039
Gene_74,1.564643656
Gene_75,-2.619745104
Gene_76,0.821902504
Gene_77,0.087047068
Gene_78,-0.29900735
Gene_79,0.091760777
Gene_80,-1.987568915
Gene_81,-0.219671888
Gene_82,0.357112572
Gene_83,1.477894045
Gene_84,-0.518270218
Gene_85,-0.808493603
Gene_86,-0.501757044
Gene_87,0.915402118
Gene_88,0.32875111
Gene_89,-0.529760204
Gene_90,0.513267433
Gene_91,0.097077549
Gene_92,0.968644991
Gene_93,-0.702053094
Gene_94,-0.327662147
Gene_95,-0.392108153
Gene_96,-1.463514948
Gene_97,0.296120277
Gene_98,0.261055272
Gene_99,0.005113457
Gene_100,-0.234587133
Gene_101,-1.415370742
Gene_102,-0.420645323
Gene_103,-0.342714517
Gene_104,-0.802277269
Gene_105,-0.161285712
Gene_106,0.404050857
Gene_107,1.886185901
Gene_108,0.174577813
Gene_109,0.257550391
Gene_110,-0.074445916
Gene_111,-1.918771215
Gene_112,-0.026513875
Gene_113,0.06023021
Gene_114,2.463242112
Gene_115,-0.192360965
Gene_116,0.301547342
Gene_117,-0.03471177
Gene_118,-1.168678038
Gene_119,1.142822815
Gene_120,0.751933033
Gene_121,0.791031947
Gene_122,-0.909387455
Gene_123,1.402794311
Gene_124,-1.401851063
Gene_125,0.586857094
Gene_126,2.190455626
Gene_127,-0.990536325
Gene_128,-0.56629773
Gene_129,0.099651365
Gene_130,-0.503475654
Gene_131,-1.550663431
Gene_132,0.068562975
Gene_133,-1.062303714
Gene_134,0.473592431
Gene_135,-0.919424234
Gene_136,1.549934405
Gene_137,-0.783253292
Gene_138,-0.322061516
Gene_139,0.813517217
Gene_140,-1.230864316
Gene_141,0.227459935
Gene_142,1.307142754
Gene_143,-1.607483235
Gene_144,0.184633859
Gene_145,0.259882794
Gene_146,0.781822872
Gene_147,-1.236950711
Gene_148,-1.320456613
Gene_149,0.521941566
Gene_150,0.296984673
Gene_151,0.25049285
Gene_152,0.346448209
Gene_153,-0.680024722
Gene_154,0.232253697
Gene_155,0.293072473
Gene_156,-0.714351418
Gene_157,1.865774511
Gene_158,0.473832921
Gene_159,-1.191303497
Gene_160,0.656553609
Gene_161,-0.97468167
Gene_162,0.787084604
Gene_163,1.158595579
Gene_164,-0.820682318
Gene_165,0.963376129
Gene_166,0.412780927
Gene_167,0.82206016
Gene_168,1.896792983
Gene_169,-0.245388116
Gene_170,-0.753736164
Gene_171,-0.88951443
Gene_172,-0.815810285
Gene_173,-0.077101709
Gene_174,0.341151975
Gene_175,0.276690799
Gene_176,0.827183249
Gene_177,0.013001892
Gene_178,1.453534077
Gene_179,-0.264656833
Gene_180,2.720169167
Gene_181,0.625667348
Gene_182,-0.857157556
Gene_183,-1.070892498
Gene_184,0.482472415
Gene_185,-0.223462785
Gene_186,0.714000494
Gene_187,0.473237625
Gene_188,-0.072828913
Gene_189,-0.846793718
Gene_190,-1.514847225
Gene_191,-0.446514952
Gene_192,0.856398794
Gene_193,0.214093744
Gene_194,-1.245738779
Gene_195,0.173180926
Gene_196,0.38531738
Gene_197,-0.883857436
Gene_198,0.153725106
Gene_199,0.058208718
Gene_200,-1.142970298
Gene_201,0.35778736
Gene_202,0.560784526
Gene_203,1.083051243
Gene_204,1.053802052
Gene_205,-1.377669368
Gene_206,-0.93782504
Gene_207,0.515035267
Gene_208,0.513785951
Gene_209,0.515047686
Gene_210,3.852731491
Gene_211,0.570890511
Gene_212,1.13556564
Gene_213,0.954001763
Gene_214,0.651391251
Gene_215,-0.315269245
Gene_216,0.75896922
Gene_217,-0.772825215
Gene_218,-0.236818607
Gene_219,-0.485363548
Gene_220,0.081874139
Gene_221,2.314658567
Gene_222,-1.867265193
Gene_223,0.68626019
Gene_224,-1.612715871
Gene_225,-0.471931866
Gene_226,1.088950597
Gene_227,0.064280019
Gene_228,-1.077744778
Gene_229,-0.715303709
Gene_230,0.679597749
Gene_231,-0.730366632
Gene_232,0.21645859
Gene_233,0.04557184
Gene_234,-0.651600348
Gene_235,2.143944089
Gene_236,0.633919022
Gene_237,-2.025142587
Gene_238,0.186454315
Gene_239,-0.661786465
Gene_240,0.852433335
Gene_241,-0.792520738
Gene_242,-0.114736441
Gene_243,0.504987279
Gene_244,0.865755194
Gene_245,-1.200296407
Gene_246,-0.334501236
Gene_247,-0.474945311
Gene_248,-0.653329233
Gene_249,1.76545424
Gene_250,0.404981711
Gene_251,-1.260883954
